Matrix Size,Custom Determinant Time (s),NumPy Determinant Time (s),Determinant Error,Custom Linear Time (s),NumPy Linear Time (s),Linear Solution L2 Error,Custom Eigen Time (s),NumPy Eigen Time (s),Eigenvalue Error,Eigenvector L2 Error,Custom Dominant Eigenvalue,NumPy Dominant Eigenvalue,RHS
38,0.000830300006782636,5.220001912675798e-05,2.3888374195585072e+27,0.0013199000095482916,3.999998443759978e-05,2.3539207756143096e-13,0.008094899996649474,0.00036959999124519527,1.4210854715202004e-13,6.170545761967547e-16,172.49948024909332,172.49948024909347,"[1, 0, 3, 9, 9, 5, 2, 9, 7, 0, 1, 3, 7, 1, 2, 4, 3, 6, 5, 8, 5, 8, 5, 6, 4, 2, 3, 0, 4, 1, 2, 0, 2, 7, 0, 6, 1, 5]"
39,0.0009802000131458044,3.5900011425837874e-05,2.6399071337760734e+29,0.0014623999886680394,3.170000854879618e-05,6.01050019216189e-13,0.0051238000160083175,0.0003302999830339104,8.526512829121202e-14,6.329245045284193e-16,175.96936245622732,175.9693624562274,"[7, 8, 4, 2, 3, 3, 9, 4, 4, 9, 5, 3, 0, 0, 6, 7, 7, 6, 2, 5, 5, 0, 3, 2, 5, 0, 1, 7, 3, 6, 5, 4, 2, 6, 2, 4, 1, 7, 8]"
40,0.000980199984041974,5.500001134350896e-05,2.506828579552895e+29,0.0032642000005580485,4.169999738223851e-05,3.6695347467050595e-13,0.005599399999482557,0.0003819999983534217,1.4210854715202004e-13,4.886873367543068e-16,174.8397872158701,174.83978721587025,"[5, 8, 2, 6, 9, 2, 9, 9, 0, 0, 7, 6, 8, 6, 2, 7, 6, 3, 3, 2, 8, 3, 8, 9, 6, 3, 3, 7, 6, 1, 8, 5, 1, 8, 6, 2, 6, 7, 1, 3]"
41,0.0010697999969124794,5.870001041330397e-05,2.5511468329593117e+31,0.004268399992724881,4.25000034738332e-05,1.6808705739991955e-13,0.006443300022510812,0.0003972999984398484,1.1368683772161603e-13,6.329245045284193e-16,183.46058048277067,183.46058048277078,"[2, 7, 9, 0, 3, 7, 1, 6, 1, 6, 0, 8, 8, 1, 9, 7, 2, 2, 3, 9, 9, 6, 4, 7, 7, 1, 8, 3, 7, 5, 3, 0, 7, 6, 8, 1, 0, 2, 4, 8, 0]"
42,0.0010735999967437238,5.85000088904053e-05,2.2627563214073895e+32,0.001715399994282052,4.47999918833375e-05,2.0327318947445567e-12,0.007866400002967566,0.0004667000030167401,3.126388037344441e-13,7.671793734223694e-16,187.26206951534948,187.26206951534917,"[7, 4, 4, 0, 8, 8, 0, 6, 7, 0, 8, 9, 8, 7, 0, 9, 2, 0, 1, 9, 9, 1, 8, 4, 3, 1, 1, 3, 2, 6, 6, 1, 1, 5, 8, 4, 8, 5, 8, 0, 5, 2]"
43,0.0011276000004727393,5.85000088904053e-05,2.5669924654621645e+32,0.0017745000077411532,5.390000296756625e-05,6.7407081049024975e-12,0.00877849999233149,0.0004181999829597771,3.410605131648481e-13,6.069846772046872e-16,194.57234824113905,194.5723482411394,"[9, 1, 7, 9, 1, 3, 8, 6, 0, 1, 5, 7, 1, 1, 7, 1, 3, 2, 1, 9, 4, 0, 2, 4, 7, 0, 2, 8, 8, 1, 4, 1, 1, 2, 8, 7, 4, 5, 2, 7, 1, 9, 3]"
44,0.0012181999918539077,5.77000027988106e-05,6.92035815676595e+34,0.0020543999853543937,4.25000034738332e-05,2.6381256926898533e-12,0.009260999999241903,0.0004626000009011477,0.0,7.059962249243381e-16,195.45066545518247,195.45066545518247,"[7, 8, 9, 0, 3, 4, 5, 0, 2, 9, 5, 8, 6, 7, 6, 0, 3, 0, 4, 0, 9, 3, 4, 6, 7, 5, 4, 1, 8, 2, 3, 6, 8, 8, 1, 0, 1, 3, 8, 2, 7, 2, 1, 0]"
45,0.0012872999941464514,5.810000584460795e-05,3.876374123449907e+35,0.002149599982658401,4.369998350739479e-05,5.768475146794622e-13,0.008354300021892413,0.0007942999945953488,8.526512829121202e-14,7.115665691833789e-16,207.6666217435954,207.66662174359533,"[2, 5, 2, 6, 1, 1, 9, 7, 8, 9, 2, 5, 9, 4, 6, 5, 7, 4, 4, 6, 5, 3, 2, 5, 5, 4, 4, 1, 1, 8, 1, 8, 5, 1, 3, 6, 7, 3, 8, 0, 5, 2, 0, 3, 8]"
46,0.0016629000019747764,8.779999916441739e-05,8.291059623708413e+37,0.0021698000200558454,5.5100012104958296e-05,7.248662683222026e-13,0.009251499985111877,0.0005224999913480133,8.526512829121202e-14,6.473657049138938e-16,205.43414782494992,205.43414782495,"[4, 3, 7, 5, 3, 9, 1, 6, 9, 2, 8, 0, 9, 1, 6, 6, 3, 1, 6, 6, 9, 6, 8, 7, 4, 0, 3, 3, 0, 4, 5, 4, 4, 1, 0, 6, 1, 6, 6, 4, 9, 7, 0, 0, 8, 4]"
47,0.0016065000090748072,6.229997961781919e-05,4.5376520706107566e+38,0.002340500010177493,4.67000063508749e-05,2.877457858921167e-12,0.009031599998706952,0.0006766000005882233,1.1368683772161603e-13,4.712321323804737e-16,214.61106289835215,214.61106289835226,"[4, 2, 2, 8, 5, 6, 2, 8, 3, 7, 2, 3, 7, 2, 2, 5, 9, 3, 1, 0, 3, 3, 7, 0, 0, 8, 9, 4, 2, 3, 4, 0, 3, 7, 0, 4, 3, 3, 3, 3, 1, 8, 8, 3, 8, 4, 5]"
48,0.001580699987243861,6.0999998822808266e-05,9.323736853633714e+40,0.0025151000008918345,4.5900000259280205e-05,2.0996014963139658e-13,0.010167300002649426,0.000516800006153062,0.0,6.600343577575282e-16,220.4619843463023,220.4619843463023,"[6, 2, 4, 7, 5, 5, 5, 2, 6, 7, 2, 0, 3, 6, 7, 0, 2, 7, 5, 1, 0, 0, 5, 6, 8, 7, 0, 6, 9, 0, 5, 7, 1, 1, 2, 1, 8, 1, 6, 7, 9, 3, 2, 3, 5, 3, 9, 3]"
49,0.001606599980732426,6.160000339150429e-05,1.5271872627411718e+42,0.0025585999828763306,4.539999645203352e-05,3.6986266125373974e-13,0.01048680001986213,0.0005527999892365187,8.526512829121202e-14,6.001240701725045e-16,220.1373379377764,220.1373379377765,"[0, 9, 9, 9, 7, 0, 2, 4, 4, 0, 4, 3, 1, 0, 9, 0, 7, 7, 1, 8, 2, 3, 5, 3, 2, 7, 7, 3, 7, 6, 5, 5, 4, 7, 6, 1, 7, 2, 7, 5, 7, 3, 5, 5, 4, 8, 1, 4, 7]"
50,0.0017177000117953867,6.019999273121357e-05,3.920052866929211e+41,0.002725400001509115,4.539999645203352e-05,1.8115040935743173e-13,0.01006610001786612,0.0005730999982915819,1.4210854715202004e-13,6.4018582627671775e-16,224.71208830957042,224.71208830957028,"[2, 8, 9, 4, 6, 7, 3, 6, 3, 1, 6, 3, 3, 0, 8, 4, 6, 0, 1, 7, 2, 6, 2, 8, 0, 3, 3, 6, 4, 9, 0, 8, 4, 7, 4, 9, 1, 1, 6, 3, 4, 3, 0, 3, 1, 0, 1, 6, 6, 3]"
51,0.0017633999814279377,6.130000110715628e-05,2.5741680492835153e+43,0.0028218999796081334,6.349998875521123e-05,1.9498134793531232e-13,0.010528900020290166,0.0005963000003248453,2.8421709430404007e-13,6.020465227319877e-16,234.3594690138396,234.35946901383988,"[0, 8, 4, 0, 1, 5, 7, 9, 9, 7, 0, 6, 2, 9, 8, 1, 0, 9, 9, 7, 5, 2, 6, 8, 6, 6, 5, 0, 8, 3, 6, 8, 1, 6, 8, 2, 1, 4, 0, 7, 3, 7, 3, 0, 8, 7, 1, 4, 3, 9, 0]"
52,0.0018700000073295087,6.600000779144466e-05,2.5645856978310217e+44,0.005835599993588403,4.5900000259280205e-05,3.609771087596129e-13,0.008504900004481897,0.0006275000050663948,1.1368683772161603e-13,7.107541237395475e-16,231.80149722339155,231.80149722339166,"[8, 4, 4, 2, 9, 8, 2, 9, 9, 3, 1, 6, 4, 2, 1, 2, 8, 2, 6, 5, 8, 5, 9, 7, 0, 2, 4, 8, 9, 1, 0, 5, 5, 7, 9, 9, 9, 1, 5, 8, 4, 3, 4, 5, 6, 5, 1, 2, 3, 4, 3, 4]"
53,0.0022521000064443797,0.0024344000266864896,1.9780760991096663e+46,0.003254400013247505,0.00017340001068077981,1.0109556931163254e-10,0.008992799994302914,0.0007971999875735492,1.1368683772161603e-13,6.6973807122470445e-16,239.66546865445326,239.66546865445338,"[3, 0, 8, 6, 0, 4, 2, 8, 3, 1, 6, 7, 2, 3, 2, 4, 6, 4, 4, 7, 1, 0, 6, 0, 6, 0, 6, 7, 3, 7, 7, 8, 8, 9, 2, 1, 4, 1, 8, 1, 0, 0, 7, 2, 9, 0, 8, 4, 7, 9, 8, 0, 1]"
54,0.0022191000171005726,6.399999256245792e-05,6.4502675412229974e+47,0.0033088999916799366,4.939999780617654e-05,1.581258148245983e-10,0.011092100001405925,0.0006658000056631863,2.842170943040401e-14,5.465452720264446e-16,240.95990276111146,240.95990276111144,"[5, 1, 6, 9, 3, 2, 4, 0, 5, 7, 4, 1, 1, 9, 3, 5, 3, 9, 1, 0, 3, 8, 9, 1, 6, 6, 7, 7, 0, 9, 5, 2, 1, 8, 5, 8, 6, 8, 0, 4, 3, 9, 4, 2, 9, 0, 0, 8, 8, 9, 2, 5, 8, 5]"
55,0.0021926000190433115,6.44999963697046e-05,1.1475071449355917e+49,0.005433500016806647,6.749999010935426e-05,1.3424544815781911e-12,0.00967329999548383,0.0022489000111818314,1.1368683772161603e-13,6.147092443495345e-16,246.30515077075285,246.30515077075296,"[9, 7, 0, 1, 8, 3, 2, 5, 6, 6, 1, 8, 0, 6, 1, 0, 8, 5, 3, 7, 0, 0, 7, 0, 0, 1, 0, 2, 2, 2, 1, 2, 6, 8, 3, 9, 0, 5, 1, 0, 1, 1, 8, 1, 6, 9, 3, 4, 9, 1, 0, 6, 7, 6, 9]"
